xchg,stk,pred_edge_slope,px_slope,sz_slope,offset
CSE,A,-0.08860176261979369,-0.14712917164459127,-0.0035709348712581745,-2.84735524892759
CSE,B,-0.10703451055680288,0.049097250442028215,-0.00989152329181182,-14.84604373782764
CSE,C,-0.10117297655380812,0.19872539509677772,-0.0015365973765996133,-9.990547476409006
CSE,D,-0.10069351835197983,-0.005761068582157754,-0.2239043107220443,6.824983111777263
NYSE,A,-0.10250307117382254,-0.1480914273729213,-0.004223695792422266,2.5754886243642003
NYSE,B,-0.09721614563643433,0.0008121799715615496,-0.009779925086560635,-5.139712475162942
NYSE,C,-0.10194351180370134,0.04806921439907794,-0.0014494478058398388,-2.7224781813472823
NYSE,D,-0.09518993588176347,-0.0005848371230760718,-0.18680662378167795,1.0428810521672784
NASDAQ,A,-0.10256833660941186,-0.25419974411750235,-0.004234346824630281,6.220518776293062
NASDAQ,B,-0.10721868520601271,0.048218673270700126,-0.010545674884882368,-10.17205401777884
NASDAQ,C,-0.1090847521404946,-0.118100646021964,-0.0014398379248903304,-0.6789858183031053
NASDAQ,D,-0.09723229517134506,0.0001615611778291254,-0.1938578756588334,-0.8817276417843848
