xchg,stk,dir,slope,offset
CSE,A,B,-0.004947506957475914,1.529341908062913
CSE,A,S,-0.004275049981805947,1.330756697149845
CSE,B,B,-0.009542920357390372,1.224910914932449
CSE,B,S,-0.011883643306009268,1.462558176114862
CSE,C,B,-0.0015027561877910783,1.3275072962028205
CSE,C,S,-0.001407558514659742,1.2711608459455215
CSE,D,B,-0.18883775599930394,1.28897582555167
CSE,D,S,-0.1801000665515736,1.2385381574414998
NYSE,A,B,-0.0046380766535974675,1.5281589914092855
NYSE,A,S,-0.004195952386290122,1.3353274148455205
NYSE,B,B,-0.008835117996025293,1.1678383460523885
NYSE,B,S,-0.00981439988504455,1.2573701891099522
NYSE,C,B,-0.001308448454449594,1.0648258945192162
NYSE,C,S,-0.0013135422329600005,1.158445198607078
NYSE,D,B,-0.16944739717708288,1.1117205374542711
NYSE,D,S,-0.19401679339830114,1.2859238859353048
NASDAQ,A,B,-0.004049912521895532,1.3083646025175883
NASDAQ,A,S,-0.0040017162094466594,1.2877547564180174
NASDAQ,B,B,-0.010092303347110181,1.275900679916641
NASDAQ,B,S,-0.010257058916002858,1.3417368708807227
NASDAQ,C,B,-0.0014569589796650715,1.286425947648631
NASDAQ,C,S,-0.0015386299545225742,1.33992267034303
NASDAQ,D,B,-0.19569063132401907,1.2292267093019844
NASDAQ,D,S,-0.17633858737986877,1.124236837354135
